Experiment Date: 15 April 2024 Time: 2:20 plus
Start of Data Logging
Line Break

Start of Data Logging
Line Break
Internal_Air_Temp(degree celsius); 24.69;   24.75;   |Temp_substrate(degree celsius); -127.00;   23.87;   23.56;   |Moisture (AnalogRead); 583.00;   587.00;   583.00;   |Actual pH; 6.34;   |Methane(ppm); 135.34;   |DHT22(%); 64.20;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 25.00;   25.12;   |Temp_substrate(degree celsius); -127.00;   24.31;   23.94;   |Moisture (AnalogRead); 583.00;   588.00;   584.00;   |Actual pH; 6.30;   |Methane(ppm); 135.34;   |DHT22(%); 63.30;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 25.25;   25.37;   |Temp_substrate(degree celsius); -127.00;   24.50;   24.19;   |Moisture (AnalogRead); 583.00;   587.00;   585.00;   |Actual pH; 6.30;   |Methane(ppm); 138.28;   |DHT22(%); 62.80;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 25.44;   25.62;   |Temp_substrate(degree celsius); -127.00;   24.75;   24.44;   |Moisture (AnalogRead); 582.00;   587.00;   584.00;   |Actual pH; 6.34;   |Methane(ppm); 138.28;   |DHT22(%); 62.70;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 25.56;   25.81;   |Temp_substrate(degree celsius); -127.00;   24.94;   24.69;   |Moisture (AnalogRead); 583.00;   588.00;   584.00;   |Actual pH; 6.34;   |Methane(ppm); 141.26;   |DHT22(%); 62.50;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 25.69;   25.94;   |Temp_substrate(degree celsius); -127.00;   25.12;   24.81;   |Moisture (AnalogRead); 584.00;   589.00;   586.00;   |Actual pH; 6.30;   |Methane(ppm); 141.26;   |DHT22(%); 62.50;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 25.81;   26.06;   |Temp_substrate(degree celsius); -127.00;   25.19;   24.94;   |Moisture (AnalogRead); 585.00;   588.00;   586.00;   |Actual pH; 6.30;   |Methane(ppm); 141.26;   |DHT22(%); 62.50;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 25.87;   26.19;   |Temp_substrate(degree celsius); -127.00;   25.37;   25.06;   |Moisture (AnalogRead); 583.00;   587.00;   583.00;   |Actual pH; 6.34;   |Methane(ppm); 145.83;   |DHT22(%); 62.60;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.00;   26.25;   |Temp_substrate(degree celsius); -127.00;   25.50;   25.12;   |Moisture (AnalogRead); 584.00;   588.00;   585.00;   |Actual pH; 6.34;   |Methane(ppm); 147.38;   |DHT22(%); 62.80;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.06;   26.37;   |Temp_substrate(degree celsius); -127.00;   25.50;   25.19;   |Moisture (AnalogRead); 584.00;   588.00;   584.00;   |Actual pH; 6.34;   |Methane(ppm); 145.83;   |DHT22(%); 62.90;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.12;   26.44;   |Temp_substrate(degree celsius); -127.00;   25.56;   25.31;   |Moisture (AnalogRead); 584.00;   588.00;   585.00;   |Actual pH; 6.30;   |Methane(ppm); 147.38;   |DHT22(%); 63.10;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.19;   26.50;   |Temp_substrate(degree celsius); -127.00;   25.69;   25.37;   |Moisture (AnalogRead); 584.00;   588.00;   584.00;   |Actual pH; 6.27;   |Methane(ppm); 147.38;   |DHT22(%); 63.20;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.25;   26.56;   |Temp_substrate(degree celsius); -127.00;   25.62;   25.50;   |Moisture (AnalogRead); 584.00;   589.00;   585.00;   |Actual pH; 6.27;   |Methane(ppm); 148.93;   |DHT22(%); 63.50;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.25;   26.62;   |Temp_substrate(degree celsius); -127.00;   25.69;   25.56;   |Moisture (AnalogRead); 585.00;   589.00;   586.00;   |Actual pH; 6.34;   |Methane(ppm); 147.38;   |DHT22(%); 63.70;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.31;   26.69;   |Temp_substrate(degree celsius); -127.00;   25.81;   25.56;   |Moisture (AnalogRead); 585.00;   588.00;   585.00;   |Actual pH; 6.30;   |Methane(ppm); 150.51;   |DHT22(%); 63.90;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.37;   26.69;   |Temp_substrate(degree celsius); -127.00;   25.81;   25.62;   |Moisture (AnalogRead); 585.00;   588.00;   585.00;   |Actual pH; 6.30;   |Methane(ppm); 153.69;   |DHT22(%); 64.10;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.37;   26.75;   |Temp_substrate(degree celsius); -127.00;   25.87;   25.62;   |Moisture (AnalogRead); 583.00;   587.00;   585.00;   |Actual pH; 6.30;   |Methane(ppm); 152.09;   |DHT22(%); 64.30;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.44;   26.75;   |Temp_substrate(degree celsius); -127.00;   25.94;   25.69;   |Moisture (AnalogRead); 584.00;   588.00;   584.00;   |Actual pH; 6.30;   |Methane(ppm); 152.09;   |DHT22(%); 64.60;   |Fan Level; 0.00;   |
