Experiment Date: 15 April 2024 Time: 2:20 plus																			
Start of Data Logging																			
Line Break																			
																			
Start of Data Logging																			
Line Break	Internal_Air_Temp(degree celsius)																		
Internal_Air_Temp(degree celsius)	26.5	26.87	   |Temp_substrate(degree celsius)	-127	26	25.81	   |Moisture (AnalogRead)	584	589	585	   |Actual pH	6.3	   |Methane(ppm)	156.92	   |DHT22(%)	65.4	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.56	26.87	   |Temp_substrate(degree celsius)	-127	26	25.81	   |Moisture (AnalogRead)	585	589	587	   |Actual pH	6.34	   |Methane(ppm)	155.29	   |DHT22(%)	65.6	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.56	26.94	   |Temp_substrate(degree celsius)	-127	26	25.81	   |Moisture (AnalogRead)	584	588	585	   |Actual pH	6.3	   |Methane(ppm)	156.92	   |DHT22(%)	65.8	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.56	26.94	   |Temp_substrate(degree celsius)	-127	26.06	25.87	   |Moisture (AnalogRead)	584	589	585	   |Actual pH	6.3	   |Methane(ppm)	160.2	   |DHT22(%)	66.1	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.56	26.94	   |Temp_substrate(degree celsius)	-127	26.06	25.94	   |Moisture (AnalogRead)	583	588	584	   |Actual pH	6.27	   |Methane(ppm)	155.29	   |DHT22(%)	66.3	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.62	26.94	   |Temp_substrate(degree celsius)	-127	26.12	25.87	   |Moisture (AnalogRead)	583	588	585	   |Actual pH	6.3	   |Methane(ppm)	158.55	   |DHT22(%)	66.5	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.62	27	   |Temp_substrate(degree celsius)	-127	26.12	25.94	   |Moisture (AnalogRead)	584	588	585	   |Actual pH	6.3	   |Methane(ppm)	160.2	   |DHT22(%)	66.7	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.62	27	   |Temp_substrate(degree celsius)	-127	26.19	26	   |Moisture (AnalogRead)	584	589	585	   |Actual pH	6.27	   |Methane(ppm)	160.2	   |DHT22(%)	66.8	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.62	27	   |Temp_substrate(degree celsius)	-127	26.12	25.94	   |Moisture (AnalogRead)	585	588	585	   |Actual pH	6.27	   |Methane(ppm)	160.2	   |DHT22(%)	67	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.69	27	   |Temp_substrate(degree celsius)	-127	26.19	26	   |Moisture (AnalogRead)	584	589	586	   |Actual pH	6.3	   |Methane(ppm)	160.2	   |DHT22(%)	67.1	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.69	27	   |Temp_substrate(degree celsius)	-127	26.19	26.06	   |Moisture (AnalogRead)	583	588	584	   |Actual pH	6.34	   |Methane(ppm)	160.2	   |DHT22(%)	67.2	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.69	27.06	   |Temp_substrate(degree celsius)	-127	26.19	25.94	   |Moisture (AnalogRead)	584	588	585	   |Actual pH	6.3	   |Methane(ppm)	163.53	   |DHT22(%)	67.3	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.69	27.06	   |Temp_substrate(degree celsius)	-127	26.25	26.06	   |Moisture (AnalogRead)	583	588	585	   |Actual pH	6.27	   |Methane(ppm)	160.2	   |DHT22(%)	67.5	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.75	27.06	   |Temp_substrate(degree celsius)	-127	26.19	26	   |Moisture (AnalogRead)	583	588	584	   |Actual pH	6.3	   |Methane(ppm)	160.2	   |DHT22(%)	67.5	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.75	27.06	   |Temp_substrate(degree celsius)	-127	26.19	26.06	   |Moisture (AnalogRead)	585	589	586	   |Actual pH	6.3	   |Methane(ppm)	160.2	   |DHT22(%)	67.5	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.75	27.06	   |Temp_substrate(degree celsius)	-127	26.25	26.06	   |Moisture (AnalogRead)	584	588	584	   |Actual pH	6.3	   |Methane(ppm)	163.53	   |DHT22(%)	67.7	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.75	27.12	   |Temp_substrate(degree celsius)	-127	26.25	26.06	   |Moisture (AnalogRead)	584	589	585	   |Actual pH	6.3	   |Methane(ppm)	163.53	   |DHT22(%)	67.7	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.75	27.12	   |Temp_substrate(degree celsius)	-127	26.25	26.06	   |Moisture (AnalogRead)	584	588	584	   |Actual pH	6.3	   |Methane(ppm)	163.53	   |DHT22(%)	67.8	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.75	27.12	   |Temp_substrate(degree celsius)	-127	26.31	26.12	   |Moisture (AnalogRead)	584	589	586	   |Actual pH	6.3	   |Methane(ppm)	165.21	   |DHT22(%)	67.9	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.81	27.12	   |Temp_substrate(degree celsius)	-127	26.25	26.12	   |Moisture (AnalogRead)	583	588	584	   |Actual pH	6.3	   |Methane(ppm)	163.53	   |DHT22(%)	68	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.81	27.12	   |Temp_substrate(degree celsius)	-127	26.25	26.12	   |Moisture (AnalogRead)	584	588	585	   |Actual pH	6.34	   |Methane(ppm)	163.53	   |DHT22(%)	68	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.81	27.12	   |Temp_substrate(degree celsius)	-127	26.25	26.12	   |Moisture (AnalogRead)	584	588	585	   |Actual pH	6.3	   |Methane(ppm)	163.53	   |DHT22(%)	68	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.81	27.19	   |Temp_substrate(degree celsius)	-127	26.25	26.12	   |Moisture (AnalogRead)	584	588	585	   |Actual pH	6.27	   |Methane(ppm)	163.53	   |DHT22(%)	68.2	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.81	27.19	   |Temp_substrate(degree celsius)	-127	26.31	26.12	   |Moisture (AnalogRead)	584	588	585	   |Actual pH	6.3	   |Methane(ppm)	163.53	   |DHT22(%)	68.2	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.81	27.19	   |Temp_substrate(degree celsius)	-127	26.25	26.12	   |Moisture (AnalogRead)	585	589	586	   |Actual pH	6.3	   |Methane(ppm)	163.53	   |DHT22(%)	68.3	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.81	27.19	   |Temp_substrate(degree celsius)	-127	26.31	26.19	   |Moisture (AnalogRead)	583	588	584	   |Actual pH	6.3	   |Methane(ppm)	166.91	   |DHT22(%)	68.3	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.81	27.19	   |Temp_substrate(degree celsius)	-127	26.31	26.12	   |Moisture (AnalogRead)	583	588	585	   |Actual pH	6.3	   |Methane(ppm)	165.21	   |DHT22(%)	68.4	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.87	27.19	   |Temp_substrate(degree celsius)	-127	26.37	26.19	   |Moisture (AnalogRead)	584	588	585	   |Actual pH	6.27	   |Methane(ppm)	163.53	   |DHT22(%)	68.4	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.87	27.25	   |Temp_substrate(degree celsius)	-127	26.37	26.19	   |Moisture (AnalogRead)	584	589	586	   |Actual pH	6.3	   |Methane(ppm)	166.91	   |DHT22(%)	68.5	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.87	27.25	   |Temp_substrate(degree celsius)	-127	26.37	26.19	   |Moisture (AnalogRead)	584	589	586	   |Actual pH	6.27	   |Methane(ppm)	163.53	   |DHT22(%)	68.6	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.87	27.25	   |Temp_substrate(degree celsius)	-127	26.37	26.12	   |Moisture (AnalogRead)	583	588	585	   |Actual pH	6.3	   |Methane(ppm)	166.91	   |DHT22(%)	68.6	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.87	27.25	   |Temp_substrate(degree celsius)	-127	26.37	26.25	   |Moisture (AnalogRead)	584	588	586	   |Actual pH	6.27	   |Methane(ppm)	165.21	   |DHT22(%)	68.6	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.87	27.25	   |Temp_substrate(degree celsius)	-127	26.37	26.19	   |Moisture (AnalogRead)	584	589	586	   |Actual pH	6.27	   |Methane(ppm)	165.21	   |DHT22(%)	68.7	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.87	27.25	   |Temp_substrate(degree celsius)	-127	26.5	26.25	   |Moisture (AnalogRead)	583	587	584	   |Actual pH	6.3	   |Methane(ppm)	166.91	   |DHT22(%)	68.7	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.94	27.25	   |Temp_substrate(degree celsius)	-127	26.37	26.25	   |Moisture (AnalogRead)	583	588	583	   |Actual pH	6.3	   |Methane(ppm)	166.91	   |DHT22(%)	68.7	   |Fan Level	0	   |
